INFO - 
Starting ScanRemoteFileInclusion scan
INFO - 	No forms found on http://192.168.232.129/mutillidae/index.php?page=arbitrary-file-inclusion.php. Skipping...
INFO - 	Testing payload: www.google.com/ on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
INFO - 	Testing payload: http://www.google.com/ on http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php
WARNING - Remote file inclusion vulnerability found at: http://192.168.232.129/mutillidae/index.php?page=text-file-viewer.php with payload: http://www.google.com/
INFO - 	Testing payload: www.google.com/ on http://192.168.232.129/mutillidae/index.php?page=source-viewer.php
INFO - 	Testing payload: http://www.google.com/ on http://192.168.232.129/mutillidae/index.php?page=source-viewer.php
WARNING - Remote file inclusion vulnerability found at: http://192.168.232.129/mutillidae/index.php?page=source-viewer.php with payload: http://www.google.com/
INFO - 	Testing payload: www.google.com/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: http://www.google.com/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: HTTP://www.google.com/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: htTp://www.google.com/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: httP://www.google.com/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: https://www.google.com/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: HTTPS://www.google.com/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: htTps://www.google.com/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: httPs://www.google.com/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: httpS://www.google.com/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: www.google.com/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: www.google.com:80/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: http://www.google.com:80/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: HTTP://www.google.com:80/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: htTp://www.google.com:80/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: httP://www.google.com:80/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: https://www.google.com:80/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: HTTPS://www.google.com:80/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: htTps://www.google.com:80/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: httPs://www.google.com:80/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: httpS://www.google.com:80/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: www.google.com:80/ on http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	No remote file inclusion vulnerability found in forms at: http://192.168.232.129/mutillidae/index.php?page=dns-lookup.php
INFO - 	Testing payload: www.google.com/ on http://192.168.232.129/mutillidae/index.php as http://192.168.232.129/mutillidae/index.php?page=www.google.com%2F
INFO - 	Testing payload: http://www.google.com/ on http://192.168.232.129/mutillidae/index.php as http://192.168.232.129/mutillidae/index.php?page=http%3A%2F%2Fwww.google.com%2F
WARNING - Remote file inclusion vulnerability found at: http://192.168.232.129/mutillidae/index.php?page=http%3A%2F%2Fwww.google.com%2F with payload: http://www.google.com/
